Item ID,GUID,Name,Number,Imported ID,Base Price,Created Date,Archived,Modifier,SKU,PLU
1600000000047653014,2421c829-1d26-49c3-ab28-f1aa67d21826,fresh fruit,1600000000047655280,,0.00,9/17/2025,No,No,,
1600000000100547201,2487dd51-8d5f-40b3-a7b5-9fe8d2adc2ab,waterloo tropical ,1600000000100547202,,0.00,10/6/2025,No,No,819215022048,
1600000000047130465,254bf901-f901-4cea-beb2-45fafc01fdc7,Bagel box,1600000000047099745,,10.00,9/17/2025,No,No,,
1600000000100345463,255d21ec-1433-4a21-a301-56c081a444fa,m&m's,1600000000100345464,,3.00,10/6/2025,No,No,040000000310,
1600000000047668558,2619b15b-6fd0-4819-90b5-82a6224fbd87,Fresh fruit,1600000000047635076,,0.00,9/17/2025,No,Yes,,
1600000000100314116,2776757b-a5f9-4e3c-bea5-c878046e1ff2,hi chew green apple,1600000000100314117,,2.50,10/6/2025,No,No,873983000035,
1600000000047746188,2835f4d2-5b8a-47b9-bc62-3340bb115fb9,No avocado,1600000000047773767,,0.00,9/17/2025,No,Yes,,
1600000000100984809,28a32163-e280-4c93-a58f-567cbbc940f8,aussie bites,1600000000100984810,,1.00,10/6/2025,No,No,731216104649,
1600000000047091276,28f41a5a-a322-4ae4-aa32-5657c1c89cfd,Chai,1600000000047147446,,5.00,9/17/2025,No,No,,
1600000000100254640,294adfbf-14df-4b64-8361-b48938e5cab6,pistachio salted,1600000000100254641,,2.50,10/6/2025,No,No,014113910712,
1600000000047670875,2b061ffa-6d58-4e9b-a91f-e1044087c15c,croutons,1600000000047728371,,0.00,9/17/2025,No,Yes,,
1600000000100984853,2bb1c872-f1a0-47e4-9730-bc20c8b34679,100 grand,1600000000100984854,,3.00,10/6/2025,No,No,099900694235,
1600000000100982625,2cb64c90-c280-4ef4-8b4f-c8cc06ddc28b,Lays,1600000000100982626,,1.00,10/6/2025,No,No,028400090858,
1600000000387841909,2d3c7781-9fe5-4bc6-ab28-2da46755f439,Brownie Special,1600000000387458391,,4.00,11/19/2025,No,No,1111111114,
1600000000047746172,2da3c294-bb84-485e-95b3-d4856788b27b,No grilled onion,1600000000047773751,,0.00,9/17/2025,No,Yes,,
1600000000049378342,2efd9d3c-4a6d-4d9f-aa80-df543382648e,Chips,1600000000049380064,,3.00,9/18/2025,No,No,,
1600000000100317788,2fe12003-7a56-4435-a0b1-01c8a7c15135,skittles,1600000000100317789,,3.00,10/6/2025,No,No,040000001607,
1600000000047746179,312f5572-957a-4402-935f-61998aef5484,No cheddar,1600000000047773758,,0.00,9/17/2025,No,Yes,,
1600000000049369216,31546ac2-55af-4b3f-980c-114ecf9ead53,Thai Pasta Chicken Salad,1600000000049364511,,15.00,9/18/2025,No,No,123456789128,
1600000000051420756,328d9835-f777-49f4-ba90-182e95fd5fe6,Raspberry Sauce,1600000000051420757,,2.00,9/19/2025,No,No,045796026629,
1600000000100206140,3384bd4a-fafe-45f7-9f75-9a3331df6a5b,coke glass,1600000000100206141,,4.75,10/6/2025,No,No,049000004632,
1600000000049295136,36a0e078-3960-4d34-a46d-05b67dbed3d9,California Turkey,1600000000049392623,,14.00,9/18/2025,No,No,,
1600000000388422633,37bc4cca-805b-4e4e-9abc-16d80b53d53e,Fruit Salad Special,1600000000390399451,,4.00,11/19/2025,No,No,1111111116,
1600000000047729898,394a2501-3e7f-4d4c-9429-3883c226ecc4,mustard,1600000000047758435,,0.00,9/17/2025,No,Yes,,
1600000000100379788,3a4bc0fe-6f08-4aa2-9581-ec6427eec251,cheetos,1600000000100379789,,1.00,10/6/2025,No,No,028400040112,
1600000000047200939,3a8ace2b-4b5d-4e3f-9ebf-87fa96fa1fcf,Lays,1600000000047517982,,1.00,9/17/2025,No,No,028400090858,
1600000000100286571,3ac36e28-de85-406e-a7cf-c1dd92f60444,pineapple jarrito,1600000000100286572,,3.95,10/6/2025,No,No,090478410043,
1600000000049369213,3b67e4b1-2a4b-4a5a-b9b4-f0711d42a872,Summer Berry,1600000000049364508,,15.00,9/18/2025,No,No,10000000021,
1600000000047702858,3bafba43-857c-4a72-9c69-0274ae6eb564,$parm cheese,1600000000047596498,,0.50,9/17/2025,No,Yes,,
1600000000047764550,3c0915c4-55d9-43e0-b88b-ed3395a1f236,$jalapeno,1600000000047758437,,0.75,9/17/2025,No,Yes,,
1600000000047201029,3c2bdcc6-43d3-414b-a758-d896ae4ce494,Breakfast sliders,1600000000047070037,,10.00,9/17/2025,No,No,,
1600000000065047693,3c404584-6aba-4978-a4a4-b75dd611536b,Cherry Coke 7.5oz,1600000000065047694,,1.75,9/25/2025,No,No,049000072303,
1600000000100347943,3d0c0dc8-871c-48a6-8509-994dbae7f289,3 musketeers,1600000000100347944,,3.00,10/6/2025,No,No,040000422082,
1600000000386964924,3e44e0e3-5a6d-427b-be73-1091d6c35650,Egg salad,1600000000386887140,,7.00,11/19/2025,No,No,1111111118,
1600000000100984837,3f06e9b9-a333-4bc8-8433-4204e81ad12d,island fruit,1600000000100984838,,2.75,10/6/2025,No,No,034856028918,
1600000000049302113,418e74ef-fe50-4de6-980b-22bbff2be543,coke-cola,1600000000049345967,,3.00,9/18/2025,No,No,,
1600000000100310062,4322ded5-2433-470a-a74d-edbeaf66cf42,hi chew mango,1600000000100310063,,2.50,10/6/2025,No,No,873983000059,
1600000000049302115,435c6da0-f060-4215-85e3-2a2c95ea1476,diet-coke,1600000000049345969,,3.00,9/18/2025,No,No,,
1600000000100982633,439cc003-a197-44bc-99ef-413c2b2648ae,Raspberry Sauce,1600000000100982634,,2.00,10/6/2025,No,No,045796026629,
1600000000100984843,43a74403-724d-4477-9e2a-b56eeadf1812,snickers,1600000000100984844,,3.00,10/6/2025,No,No,040000424314,
1600000000047746173,446995c4-63ee-46ea-96c0-a9e044b6c689,No chicken,1600000000047773752,,0.00,9/17/2025,No,Yes,,
1600000000047702855,454c67a4-d171-4174-9aa2-03cdc2dd4d44,$jalapenos,1600000000047596495,,0.50,9/17/2025,No,Yes,,
1600000000100335478,46c128f3-9280-48f7-8dbe-32be725e0066,island fruit,1600000000100335479,,2.75,10/6/2025,No,No,034856028918,
1600000000669454630,47488242-f9e2-456b-aecb-2737c73cad08,Brownie,1600000000669454631,,4.00,12/18/2025,No,No,,
1600000000100331949,4a2f5185-6a87-4c80-8cfc-fb41f8c593e0,fruit snacks,1600000000100334050,,2.75,10/6/2025,No,No,034856028987,
1600000000047670882,4beb1681-e98d-44fe-9603-7b641f326e1a,tomato,1600000000047728378,,0.00,9/17/2025,No,Yes,,
1600000000100984855,4c71734e-783d-4fde-946e-1791bd3400f8,butterfingers,1600000000100984856,,3.00,10/6/2025,No,No,099900100873,
1600000000047764554,4d7a9a56-4d88-4773-8c46-f6abad664ab7,$cucumbers,1600000000047758441,,0.50,9/17/2025,No,Yes,,
1600000000047670871,4dc4cc73-bcd8-49b2-8dd0-8c5e8a047427,Parm cheese,1600000000047728367,,0.00,9/17/2025,No,Yes,,
1600000000100375049,4e67cc17-1496-4cb1-8c1c-356bcf5a1eb5,ruffles,1600000000100377150,,1.00,10/6/2025,No,No,028400090148,
1600000000047066648,4e968ac6-3e7b-475c-a8f6-fc60565d960e,Fruit Parfait,1600000000047204226,,7.00,9/17/2025,No,No,,
1600000000047670877,500d2fa8-471b-447a-9540-42701aaf2b84,roasted corn,1600000000047728373,,0.00,9/17/2025,No,Yes,,
1600000000047746175,5097582c-09ef-48e4-a498-77c2cb2cbe63,No jalapeno,1600000000047773754,,0.00,9/17/2025,No,Yes,,
1600000000047670876,51ee50c6-3b92-4b21-8533-81dd1c9b725a,walnuts,1600000000047728372,,0.00,9/17/2025,No,Yes,,
1600000000047729890,5379b323-502b-45ae-94c8-2d1a5a431d8d,$mozarella,1600000000047758427,,1.00,9/17/2025,No,Yes,,
